attendance,previous_gpa,study_hours,assignment_completion,internal_marks,test_average,previous_backlogs,final_gpa
68.72700594236812,6.8549498182491995,5.545272456566735,75.95795722038332,73.89541724466932,67.57268794164831,4,8.073581631174468
97.53571532049581,6.63550032696352,6.475110478935292,70.82247131291828,45.34318172630997,84.97361569323377,1,9.461561512968323
86.59969709057026,4.141031361935396,2.3785092409437425,57.29107155757177,87.3436738012889,42.50533459018421,3,7.292103684730545
79.93292420985183,5.87686305194386,5.186555747052492,40.387861467382635,71.78697434415449,42.786977943356675,4,7.16631336652776
57.80093202212183,6.0910759033222135,4.788094873578115,69.77435331404884,44.43223301341725,68.40910161669845,0,7.671132993160748
57.79972601681013,6.193525294932953,6.746227825912033,57.137559313734585,92.74028344887242,91.78271920150226,0,9.182970473880564
52.90418060840997,7.190948030750327,7.295652953609454,84.0764980426321,66.10192780011924,59.899865502245255,1,7.954164195149502
93.30880728874675,6.934814006997831,0.591175786080401,41.43677591622901,39.3739071122993,54.61652601528169,0,7.870396934908014
80.05575058716045,7.343478010363945,5.555149392940945,75.08966867834745,72.60997426490403,71.40135939187314,0,9.782789722737652
85.40362888980228,8.206857938481704,0.8887684933979676,96.48845425036393,50.19193442076862,90.82691603270186,0,10.0
51.029224714790125,8.471421562938513,4.616439988080169,50.46455602668997,83.22160711263814,85.21566997067742,3,8.539723451468996
98.49549260809971,7.94967691924572,2.6572454678275865,68.29896944503572,84.06932441397143,94.72901664399319,0,10.0
91.62213204002109,9.25538032775214,2.800824496416059,45.48531950902829,93.73684135127971,36.35411499214263,2,8.848192190109502
60.61695553391381,4.100279204719989,3.1471887758926744,77.54091473568116,65.11217186147022,41.771488682765735,4,6.2248242518119135
59.09124836035503,5.076778921259503,5.159693367872076,73.03190083577354,62.29741278366423,71.56806580199732,0,7.911231429995494
59.17022549267169,4.041595812379781,3.005374742515769,64.44193145276994,80.20853632678885,84.23458636003099,0,8.16812155764568
65.21211214797688,7.561110927850317,5.995242879427103,71.28262128842448,42.948239380515595,52.11466053840599,0,7.96197050142004
76.2378215816119,8.939168019224928,3.5339553918040227,93.79447950814061,67.81493082758746,49.352665282053124,2,9.178503232540773
71.5972509321058,5.339152631169646,1.0126490023246897,51.77765813866402,67.77485600785106,82.21854796287205,0,7.250410471209608
64.5614570099021,9.098689996379687,6.378198818630804,41.35387070232083,40.36838736862323,38.382911231193894,0,8.179950944276115
80.59264473611897,4.331470646592584,2.643187434445295,91.69989308194606,60.07904513041481,57.16295885495511,4,7.004734557351626
56.97469303260209,9.139398147430327,3.7457515969944697,74.62702494327439,86.19708791403212,65.34855335553979,2,8.837872088737518
64.6072324267609,5.933924779817989,5.640829124164261,93.43950732771054,86.36921731967962,68.62092046101941,2,8.394957209828814
68.31809216468459,4.5578145564706904,2.99342117861534,75.81671340479036,40.95425989518086,78.71690940756662,0,7.920606587877961
72.8034992108518,6.672294675524791,0.9243924211003671,88.60966539758215,40.44325296486985,56.29074340583949,2,7.285679907855782
89.25879806965068,5.412271122462794,3.304407852596102,65.78040180130887,50.761728620116116,71.76106068047643,1,8.033532099411662
59.98368910791799,5.566800960790576,7.583364370207276,84.99159587729613,87.48596375323962,70.12252536745737,2,8.72710295802271
75.71172192068059,5.690094807094576,5.3130079797391865,94.78248801339136,42.734155104409936,67.85696603922483,2,9.016229979818918
79.62072844310212,8.416642438079649,5.536093615004052,74.32737782333237,78.19980815764677,73.42899758853272,2,10.0
52.32252063599989,6.9653870217139,5.242116152282299,50.84710903374277,41.06993717678619,50.56695026408458,3,6.896223667711508
80.37724259507192,5.71219234535802,1.992441042195776,56.12785690181189,72.38827122486953,40.07892521507774,3,7.053153749030282
58.526206184364575,7.356835808210051,3.637503980767101,51.918674613844345,56.36403794714869,42.15630032238461,3,6.783761045519853
53.25257964926398,7.938828708227565,6.132048487724887,54.81142165574397,82.33483777795202,48.47494295923406,2,7.295712849180535
97.44427686266667,5.4994320040344356,1.2602967316486935,58.38492696106218,49.021426929521816,65.01187613136712,1,7.655970861410971
98.28160165372796,6.274520058389433,2.5838958206728417,73.30802720519131,73.35210976339759,85.4265650327612,2,9.039107302529246
90.41986740582306,4.670373513353212,2.572393313493902,75.27949776782997,49.1409520745531,77.07760052530304,0,7.730437044970337
65.23068845866854,4.996321422440742,3.740141956958795,65.58998483451167,77.81961698672923,82.34243625212284,1,7.748649755877449
54.883605700319194,7.746148196807406,7.852765557066388,76.92524678925012,87.42068207364493,56.05853743556548,3,7.9657452006521625
84.21165132560785,4.997910912325948,1.0062691001286646,44.89449553668196,42.6081079476056,59.27922449891301,4,5.924309463588138
72.00762468698007,6.8883986101688315,4.390257457854463,45.2672942234896,86.99574131573021,58.62091315943677,1,8.807617465499431
56.10191174223894,7.89975443947338,1.8452351150915784,50.30976762145951,70.61451526485789,46.51239106427009,3,7.309312395769555
74.75884550556351,4.587823077021091,7.7800740905730805,71.08464988242068,42.62662945202144,38.67299948861432,1,7.552951444487009
51.71942605576092,7.120217207958969,1.3497762854559814,52.839680721898816,60.65251132158272,70.4549655696336,1,7.023681276510174
95.4660201039391,5.411095310357501,3.5270075177119344,56.99706420955464,44.65161760910587,94.35300100523517,2,7.645740619348242
62.93899908000085,9.29609781380669,6.034137386259546,64.01877017037964,77.02087333199417,45.00978229701577,0,8.832915435516666
83.1261142176991,6.659501056959586,5.78415821020584,88.7119674406228,80.53208806507698,37.80108919395643,4,7.7454316827486425
